Timestamp,Score,Nama,Email,1. Status Bpk/Ibu/Saudara/i:,2. Berapa lama Bpk/Ibu/Saudara/i bergabung atau mengenal STT Wastukancana?,3. Apakah Bpk/Ibu/Saudara/i pernah membaca visi dan misi STT Wastukancana?,4.  Media sumber Bpk/Ibu/Saudara/i mendapatkan informasi tentang visi dan misi STT Wastukancana? (Jawaban boleh lebih dari satu),3. Apakah Bpk/Ibu/Saudara/i mengetahui Visi dan Misi STT Wastukancana?,5. Saya memahami Visi dan Misi STT Wastukancana.,6. Saya memahami bahwa Visi dan Misi STT Wastukancana harus dilaksanakan.,7. Saya memahami fungsi Visi dan Misi STT Wastukancana sebagai arahan dalam kegiatan akademik.,8. Saya memahami dengan baik bahwa setiap program harus dilaksanakan harus berdasarkan Visi dan Misi STT Wastukancana.,9. Saya memahami Visi dan Misi STT Wastukancana sudah realistik.,10. Visi dan Misi STT Wastukancana telah tercermin pada: (jawaban boleh lebih dari satu),,5. Apakah Bpk/Ibu/Saudara/i mengetahui Visi dan Misi STT Wastukancana?
7/24/2024 15:46:10,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,4,5,3,3,3,"Kurikulum, Proses Pembelajaran",,
7/24/2024 15:47:46,0,,,Mahasiswa,-1 Tahun,,Media sosial,Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 15:49:38,0,,,Mahasiswa,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 15:51:01,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 15:52:07,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,3,4,3,3,4,"Proses Pembelajaran, Penelitian Mahasiswa, Kompetensi Lulusan",,
7/24/2024 15:52:25,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan, Standing Banner, Media sosial",Ya,3,4,5,4,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 15:52:55,0,,,Mahasiswa,-1 Tahun,,,Tidak,,,,,,,,
7/24/2024 15:54:34,0,,,Mahasiswa,1 - 5 Tahun,,Media sosial,Ya,5,5,5,5,5,Kurikulum,,
7/24/2024 15:54:37,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran",,
7/24/2024 15:54:57,0,,,Mahasiswa,-1 Tahun,,Standing Banner,Ya,3,4,3,4,3,Kurikulum,,
7/24/2024 15:55:07,0,,,Mahasiswa,-1 Tahun,,"Media sosial, Tau dari orang tua",Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Mahasiswa, Kompetensi Lulusan",,
7/24/2024 15:55:38,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan, Standing Banner, Media sosial",Ya,4,4,4,5,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa",,
7/24/2024 15:55:38,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Standing Banner, Media sosial",Ya,4,5,4,5,3,Kompetensi Lulusan,,
7/24/2024 15:57:51,0,,,Mahasiswa,1 - 5 Tahun,,Media sosial,Ya,3,3,3,3,3,Penelitian Dosen,,
7/24/2024 15:58:14,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik",Ya,1,1,1,1,3,Proses Pembelajaran,,
7/24/2024 15:58:17,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik",Ya,2,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Kompetensi Dosen",,
7/24/2024 15:58:39,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Standing Banner, Media sosial",Ya,5,5,5,5,4,"Kurikulum, Proses Pembelajaran, Kompetensi Dosen",,
7/24/2024 15:58:50,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Mahasiswa",,
7/24/2024 16:02:14,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,4,4,4,4,4,Kurikulum,,
7/24/2024 16:02:50,0,,,Alumni,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 16:02:58,0,,,Mahasiswa,1 - 5 Tahun,,Standing Banner,Ya,3,3,3,3,3,Kompetensi Dosen,,
7/24/2024 16:02:58,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,3,3,3,3,3,Proses Pembelajaran,,
7/24/2024 16:03:17,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan, Media sosial",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Lulusan",,
7/24/2024 16:03:31,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan",Ya,4,4,4,3,4,"Kurikulum, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:04:27,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik",Ya,4,5,5,5,5,"Kurikulum, Proses Pembelajaran, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:04:42,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Media sosial",Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:05:22,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan, Standing Banner, Media sosial",Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:06:09,0,,,Mahasiswa,-1 Tahun,,,Tidak,,,,,,,,
7/24/2024 16:06:19,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:07:06,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,3,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen",,
7/24/2024 16:07:32,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,5,4,4,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Mahasiswa",,
7/24/2024 16:07:36,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Standing Banner, Media sosial",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:08:57,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,3,3,3,3,3,Proses Pembelajaran,,
7/24/2024 16:09:28,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,5,5,5,5,5,Kompetensi Lulusan,,
7/24/2024 16:09:33,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,3,4,3,3,3,"Kurikulum, Proses Pembelajaran",,
7/24/2024 16:10:04,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:11:32,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Kompetensi Lulusan",,
7/24/2024 16:12:17,0,,,Mahasiswa,-1 Tahun,,,Tidak,,,,,,,,
7/24/2024 16:12:43,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,3,3,4,4,4,Proses Pembelajaran,,
7/24/2024 16:13:16,0,,,Mahasiswa,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 16:16:28,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Standing Banner",Ya,3,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Mahasiswa",,
7/24/2024 16:17:45,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan",Ya,5,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:22:48,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan, Standing Banner",Ya,3,3,3,2,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:22:49,0,,,Tenaga Kependidikan,1 - 5 Tahun,,Situs STT Wastukancana,Ya,4,4,5,4,5,Penelitian Mahasiswa,,
7/24/2024 16:25:46,0,,,Tenaga Kependidikan,1 - 5 Tahun,,Situs STT Wastukancana,Ya,4,4,4,4,5,Penelitian Mahasiswa,,
7/24/2024 16:26:49,0,,,Mahasiswa,1 - 5 Tahun,,"Standing Banner, Media sosial",Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Mahasiswa, Kompetensi Lulusan",,
7/24/2024 16:26:50,0,,,Mahasiswa,1 - 5 Tahun,,Media sosial,Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:27:24,0,,,Mahasiswa,-1 Tahun,,Standing Banner,Ya,4,4,4,4,4,Kompetensi Dosen,,
7/24/2024 16:28:11,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik",Ya,5,5,5,5,5,"Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:29:06,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan, Standing Banner, Media sosial, ",Ya,3,4,4,4,2,Kompetensi Lulusan,,
7/24/2024 16:29:16,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,5,5,5,5,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:29:26,0,,,Mahasiswa,-1 Tahun,,,Tidak,,,,,,,,
7/24/2024 16:30:21,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan, Standing Banner, Media sosial",Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:31:02,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Pemberitahuan atau penjelasan Pimpinan",Ya,4,4,4,4,4,Kurikulum,,
7/24/2024 16:31:49,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Pemberitahuan atau penjelasan Pimpinan, Media sosial",Ya,4,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Mahasiswa, Kompetensi Dosen",,
7/24/2024 16:31:57,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Standing Banner, Media sosial",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:32:57,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,5,5,5,5,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:34:01,0,,,Mahasiswa,-1 Tahun,,,Tidak,,,,,,,,
7/24/2024 16:34:08,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Pemberitahuan atau penjelasan Pimpinan",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Kompetensi Dosen",,
7/24/2024 16:34:58,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,3,5,5,5,5,"Kurikulum, Proses Pembelajaran, Kompetensi Lulusan",,
7/24/2024 16:39:21,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,3,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa",,
7/24/2024 16:41:02,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran",,
7/24/2024 16:41:05,0,,,Mahasiswa,-1 Tahun,,Media sosial,Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:41:58,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran",,
7/24/2024 16:43:13,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,3,5,5,5,5,"Kurikulum, Kompetensi Lulusan",,
7/24/2024 16:45:01,0,,,Mahasiswa,-1 Tahun,,Buku Kurikulum dan Pedoman Akademik,Ya,4,4,5,3,5,Kompetensi Lulusan,,
7/24/2024 16:46:36,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Media sosial",Ya,4,4,3,4,4,"Kurikulum, Proses Pembelajaran",,
7/24/2024 16:49:58,0,,,Mahasiswa,-1 Tahun,,Media sosial,Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:50:34,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,5,5,5,5,5,"Proses Pembelajaran, Kompetensi Lulusan",,
7/24/2024 16:50:49,0,,,Mahasiswa,1 - 5 Tahun,,Media sosial,Ya,3,3,3,3,3,Proses Pembelajaran,,
7/24/2024 16:53:17,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Standing Banner, Media sosial",Ya,5,5,5,5,5,Kurikulum,,
7/24/2024 16:53:58,0,,,Mahasiswa,-1 Tahun,,Media sosial,Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Kompetensi Lulusan",,
7/24/2024 16:54:38,0,,,Mahasiswa,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 16:55:44,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan, Standing Banner, Media sosial",Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:59:39,0,,,Mahasiswa,-1 Tahun,,"Standing Banner, Media sosial",Ya,3,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 16:59:59,0,,,Mahasiswa,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 17:03:50,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Standing Banner, Media sosial",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:04:20,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,2,2,2,2,2,Kurikulum,,
7/24/2024 17:04:32,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Media sosial",Ya,3,4,4,4,4,Proses Pembelajaran,,
7/24/2024 17:05:28,0,,,Mahasiswa,-1 Tahun,,Media sosial,Ya,4,4,4,4,4,Kurikulum,,
7/24/2024 17:05:43,0,,,Mahasiswa,-1 Tahun,,"Buku Kurikulum dan Pedoman Akademik, ",Ya,3,3,3,3,4,Kurikulum,,
7/24/2024 17:06:51,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Media sosial",Ya,3,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:07:44,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Standing Banner",Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran",,
7/24/2024 17:08:49,0,,,Mahasiswa,6 - 10 Tahun,,Standing Banner,Ya,2,2,2,5,3,Kompetensi Dosen,,
7/24/2024 17:09:50,0,,,Mahasiswa,1 - 5 Tahun,,Media sosial,Ya,3,3,3,3,3,Proses Pembelajaran,,
7/24/2024 17:10:10,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:12:39,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:14:59,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,2,2,2,2,2,Kurikulum,,
7/24/2024 17:17:41,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,5,5,5,5,5,Proses Pembelajaran,,
7/24/2024 17:19:33,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Mahasiswa, Kompetensi Dosen",,
7/24/2024 17:20:23,0,,,Mahasiswa,1 - 5 Tahun,,Media sosial,Ya,2,2,2,3,3,Proses Pembelajaran,,
7/24/2024 17:20:33,0,,,Mahasiswa,1 - 5 Tahun,,"Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan",Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:20:34,0,,,Mahasiswa,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 17:22:20,0,,,Mahasiswa,1 - 5 Tahun,,Media sosial,Ya,5,5,5,5,5,Proses Pembelajaran,,
7/24/2024 17:23:32,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,4,4,4,4,4,"Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:24:47,0,,,Mahasiswa,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 17:24:55,0,,,Mahasiswa,-1 Tahun,,Media sosial,Ya,3,3,3,3,3,Kurikulum,,
7/24/2024 17:29:07,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,4,4,4,4,4,"Kurikulum, Kompetensi Lulusan",,
7/24/2024 17:29:40,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,5,4,3,3,3,Penelitian Dosen,,
7/24/2024 17:30:29,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,3,4,4,4,3,Proses Pembelajaran,,
7/24/2024 17:31:49,0,,,Mahasiswa,-1 Tahun,,,Tidak,,,,,,,,
7/24/2024 17:32:34,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Standing Banner, Media sosial",Ya,4,4,4,4,4,"Proses Pembelajaran, Penelitian Mahasiswa, Kompetensi Dosen",,
7/24/2024 17:33:18,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:33:49,0,,,Mahasiswa,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 17:34:02,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,3,4,3,3,4,"Kurikulum, Penelitian Mahasiswa",,
7/24/2024 17:34:28,0,,,Pengguna lulusan/Industri,-1 Tahun,,"Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan",Ya,3,3,3,3,3,Penelitian Dosen,,
7/24/2024 17:34:44,0,,,Dosen,-1 Tahun,,Situs STT Wastukancana,Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:35:51,0,,,Mahasiswa,1 - 5 Tahun,,Media sosial,Ya,3,3,3,3,3,Kurikulum,,
7/24/2024 17:36:07,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran",,
7/24/2024 17:37:36,0,,,Mahasiswa,6 - 10 Tahun,,Media sosial,Ya,3,3,3,3,3,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:37:58,0,,,Mahasiswa,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 17:39:12,0,,,Mahasiswa,1 - 5 Tahun,,Situs STT Wastukancana,Ya,4,4,4,4,4,Proses Pembelajaran,,
7/24/2024 17:39:35,0,,,Mahasiswa,-1 Tahun,,"Situs STT Wastukancana, Media sosial",Ya,5,5,5,5,5,"Proses Pembelajaran, Kompetensi Dosen",,
7/24/2024 17:40:01,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Pemberitahuan atau penjelasan Pimpinan, Standing Banner, Media sosial",Ya,3,3,3,3,3,Proses Pembelajaran,,
7/24/2024 17:41:35,0,,,Mahasiswa,-1 Tahun,,,Tidak,,,,,,,,
7/24/2024 17:41:50,0,,,Mahasiswa,1 - 5 Tahun,,Media sosial,Ya,3,3,3,3,3,Proses Pembelajaran,,
7/24/2024 17:42:03,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,4,4,4,4,4,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
7/24/2024 17:46:07,0,,,Mahasiswa,-1 Tahun,,Situs STT Wastukancana,Ya,5,5,5,5,5,Proses Pembelajaran,,
7/24/2024 17:46:18,0,,,Mahasiswa,1 - 5 Tahun,,,Tidak,,,,,,,,
7/24/2024 17:47:15,0,,,Mahasiswa,1 - 5 Tahun,,"Situs STT Wastukancana, Buku Kurikulum dan Pedoman Akademik, Media sosial",Ya,5,5,5,5,5,"Kurikulum, Proses Pembelajaran, Penelitian Dosen, Penelitian Mahasiswa, Kompetensi Dosen, Kompetensi Lulusan",,
