"1. STT Wastukancana memberikan kesempatan yang sama dalam proses penerimaan dosen/karyawan tanpa membedakan suku, agama, ras, gender, dan kondisi fisik berdasarkan kompetensi.",2. STT Wastukancana  memberikan kesempatan yang sama dalam pengangkatan pejabat struktural berdasarkan kompetensi dan track record  ,3. STT Wastukancana  memberikan remunerasi dan insentif yang dikaitkan dengan kinerja ,4. STT Wastukancana  memberikan penilaian dan penghargaan terhadap beban kerja dosen/pegawai dengan adil ,"1. Statuta STT Wastukancana memuat kedudukan, fungsi, tugas, tanggung jawab, dan kewenangan setiap unsur organisasi telah disesuaikan dengan perubahan terkini ","2. Visi, misi, dan tujuan STT Wastukancana sejalan dengan mandat pemerintah (tri dharma perguruan tinggi) dan Badan Penyelenggara",3. STT Wastukancana memiliki dokumen pendukung lengkap yang memuat deskripsi kerja dan prosedur,1. Secara umum proses pengambilan keputusan di  STT Wastukancana  dilakukan secara berjenjang dan melibatkan berbagai pihak yang berkepentingan.,"2. Kontrak Manajemen STT Wastukancana diturunkan dan dibahas ditingkat unit-unit kerja, program studi, perguruan tinggi dan badan penyelenggara. ","3. Capaian Kinerja STT Wastukancana disampaikan dan dibahas dalam rapat dosen/pegawai, pimpinan, senat, dan badan penyelenggara.",1. Penerapan standar SPMI telah menjadi bukti kredibilitas STT Wastukancana dalam memberikan pelayanan kepada stakeholdernya.,2. Perolehan akreditasi perguruan tinggi telah menjadi bukti kredibilitas STT Wastukancana dalam memberikan pelayanan kepada stakeholdernya ,1. STT Wastukancana membuat laporan pertanggungjawaban manajemen dan keuangan secara berkala kepada Badan Penyelenggara,2. Proses audit dijalankan oleh Pusat SPMI bersama auditor internal dengan efektif dan berkala ,3. Pengelolaan keuangan dijalankan berdasarkan sistem akuntansi Indonesia.,1. Setiap unit di STT Wastukancana selalu memahami risiko dari setiap program/aktivitas yang akan dilakukan ,2. Setiap unit di STT Wastukancana telah menetapkan tindakan-tindakan untuk mencegah terjadinya risiko ,1. STT Wastukancana menerapkan sistem penjaminan mutu secara menyeluruh. ,2. STT Wastukancana melaksanakan proses umpan balik dari seluruh stakeholder,3. STT Wastukancana melaksanakan survei kepuasan kepada seluruh stakeholder. ,"4. Sistem Perencanaan, Pelaksanaan, Evaluasi, Pengendalian, dan Peningkatan (PPEPP) STT Wastukancana telah berjalan secara berkesinambungan dan efektif. ",5. Program kerja STT Wastukancana efektif mendukung pencapaian indikator kinerja ,Status Bpk/Ibu/Saudara/i.
4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Dosen
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Dosen
4,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,4,3,3,3,3,Dosen
4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,Dosen
3,3,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,1,1,3,2,2,Dosen
4,3,3,3,3,3,3,2,2,4,3,4,4,2,2,3,4,3,2,4,3,4,Dosen
4,4,3,4,3,3,4,4,4,4,3,4,3,3,3,4,4,3,4,4,3,3,Dosen
4,4,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3,4,3,4,3,4,Dosen
3,3,3,2,3,3,2,2,2,4,3,3,3,3,3,2,2,2,2,3,3,3,Dosen
4,4,4,3,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,Dosen
4,3,3,3,3,4,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,Dosen
3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,Dosen
4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,Dosen
4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Dosen
3,1,3,4,3,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,Dosen
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Dosen
3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,2,3,1,1,Dosen
4,3,2,3,3,4,3,3,3,4,3,3,3,4,3,3,3,3,4,4,3,3,Dosen
4,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,Dosen
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Dosen
4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,4,Dosen
4,4,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,Dosen
3,4,2,3,3,3,3,3,3,3,4,4,4,3,3,3,3,4,3,3,3,3,Dosen
4,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Dosen
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Dosen
4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,3,3,4,Dosen
3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,3,3,3,3,3,3,3,Dosen
4,4,3,4,3,4,2,4,3,4,3,4,4,3,3,4,3,3,4,3,3,3,Dosen
4,2,3,3,3,3,4,2,3,3,3,3,3,4,2,3,3,3,4,4,3,3,Dosen
4,2,3,3,3,4,3,3,2,4,4,3,4,3,2,3,3,3,4,4,3,3,Tenaga Kependidikan
3,2,2,3,3,3,2,2,2,3,3,2,3,3,2,3,3,3,3,3,3,3,Tenaga Kependidikan
1,1,2,2,2,1,2,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,Tenaga Kependidikan
4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,Tenaga Kependidikan
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Tenaga Kependidikan
3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Tenaga Kependidikan
4,4,3,4,4,4,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,Dosen
3,3,2,2,3,4,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Dosen
4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,Dosen
4,2,2,3,3,3,2,2,2,3,3,3,2,3,2,3,2,2,2,3,2,2,Dosen
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Tenaga Kependidikan
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Tenaga Kependidikan
3,4,2,3,4,4,3,3,4,3,4,3,3,4,3,4,4,4,4,4,4,3,Tenaga Kependidikan
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Tenaga Kependidikan
1,1,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,Tenaga Kependidikan
3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,Dosen
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Dosen
4,4,3,3,3,4,3,3,4,3,3,4,4,3,3,3,3,4,3,3,3,3,Dosen
2,3,3,3,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,Dosen
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Dosen
4,4,2,3,3,4,3,3,2,4,3,4,4,2,3,3,3,3,3,4,3,3,Dosen
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,Tenaga Kependidikan
4,4,4,4,3,3,3,4,4,4,3,3,4,3,3,3,3,4,4,3,3,3,Tenaga Kependidikan
3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Tenaga Kependidikan
3,2,3,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,Tenaga Kependidikan
3,4,4,4,3,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,3,3,Dosen
4,4,4,3,3,4,4,4,3,4,3,4,4,3,3,4,4,3,4,4,3,4,Tenaga Kependidikan
